sample,lane,read,file,condition
20AD07372_S17,L001,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L001_R1_001.fastq.gz,healthy
20AD07372_S17,L001,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L001_R2_001.fastq.gz,healthy
20AD07372_S17,L002,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L002_R1_001.fastq.gz,healthy
20AD07372_S17,L002,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L002_R2_001.fastq.gz,healthy
20AD07372_S17,L003,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L003_R1_001.fastq.gz,healthy
20AD07372_S17,L003,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L003_R2_001.fastq.gz,healthy
20AD07372_S17,L004,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L004_R1_001.fastq.gz,healthy
20AD07372_S17,L004,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20AD07372/20AD07372_S17_L004_R2_001.fastq.gz,healthy
20DP07362_S7,L001,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L001_R1_001.fastq.gz,healthy
20DP07362_S7,L001,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L001_R2_001.fastq.gz,healthy
20DP07362_S7,L002,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L002_R1_001.fastq.gz,healthy
20DP07362_S7,L002,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L002_R2_001.fastq.gz,healthy
20DP07362_S7,L003,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L003_R1_001.fastq.gz,healthy
20DP07362_S7,L003,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L003_R2_001.fastq.gz,healthy
20DP07362_S7,L004,R1,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L004_R1_001.fastq.gz,healthy
20DP07362_S7,L004,R2,../input/180705_NB551088_0005_AHTLH3AFXX/20DP07362/20DP07362_S7_L004_R2_001.fastq.gz,healthy
